feature_indices,weights,bias,train_accuracy,test_accuracy
"(0,)",[2.5561],0.2667,0.8571,0.85
"(1,)",[-2.5651],0.1065,0.8442,0.8
"(2,)",[3.2294],0.2986,1.0,1.0
"(3,)",[3.2563],0.2613,1.0,1.0
"(0, 1)",[ 2.3379 -2.2091],0.3299,1.0,0.95
"(0, 2)",[0.7241 2.9455],0.4107,1.0,1.0
"(0, 3)",[0.8859 2.9125],0.3549,1.0,1.0
"(1, 2)",[-1.2923  2.6508],0.1327,1.0,1.0
"(1, 3)",[-1.3774  2.6052],0.1081,1.0,0.95
"(2, 3)",[1.9652 1.9138],0.3224,1.0,1.0
"(0, 1, 2)",[ 1.0905 -1.4318  2.0367],0.2526,1.0,1.0
"(0, 1, 3)",[ 1.1195 -1.451   1.9949],0.1961,1.0,1.0
"(0, 2, 3)",[0.5027 1.8413 1.8349],0.3925,1.0,1.0
"(1, 2, 3)",[-1.0975  1.6183  1.6264],0.1471,1.0,1.0
"(0, 1, 2, 3)",[ 0.7526 -1.1805  1.3731  1.4231],0.2144,1.0,1.0
