id,feature_indices,feature_names,theta,acc_train,acc_test
1,[0],sepal_length,-1.3701,0.623,0.55
3,[2],petal_length,-1.109,0.636,0.6
4,[3],petal_width,0.8868,0.688,0.8
6,"[0, 2]",sepal_length+petal_length,-2.4102,0.61,0.55
7,"[0, 3]",sepal_length+petal_width,-2.4403,0.61,0.5
8,"[1, 2]",sepal_width+petal_length,-0.211,0.61,0.7
9,"[1, 3]",sepal_width+petal_width,-0.8105,0.623,0.6
10,"[2, 3]",petal_length+petal_width,-2.1825,0.649,0.55
11,"[0, 1, 2]",sepal_length+sepal_width+petal_length,-2.0623,0.61,0.55
12,"[0, 1, 3]",sepal_length+sepal_width+petal_width,-2.1494,0.61,0.55
13,"[0, 2, 3]",sepal_length+petal_length+petal_width,-3.4112,0.61,0.55
14,"[1, 2, 3]",sepal_width+petal_length+petal_width,-2.151,0.61,0.55
15,"[0, 1, 2, 3]",sepal_length+sepal_width+petal_length+petal_width,-3.2175,0.61,0.55
